# K	Hilbert Runtime	Z-order Runtime	Naive Runtime	Avg. times set-rad(HILBERT)/set-rad(OPT)	Avg. times set-rad(ZORDER)/set-rad(OPT)
4	175.476513863	71.5424678326	717.193202257	1.36454766391	1.41613944052
5	221.531542778	112.513963699	668.210348606	1.34961925672	1.41679697102
6	263.239911318	155.452708483	664.600864172	1.33677087534	1.39989382488
7	325.588578939	215.395639896	689.172171116	1.32610273035	1.38986530033
8	403.821192741	288.657505751	712.553514242	1.317422478	1.38560387904
9	440.598793268	330.987166405	660.174912214	1.32560678236	1.37950332923
10	517.333710194	409.429808617	664.920181036	1.32875866467	1.37158505785
11	583.121193409	475.98063755	647.325973749	1.32601392103	1.36547421484
